英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
"Academy of Aerospace Solid Propulsion Technology 
(AASPT)",航天动力技术研究院,2020/12/23,.,.,,研究所,meu
 Aero Engine Company of China,中国航空发动机集团有限公司,2020/12/23,2,0,,内地企业,meu
Engine Company of China,中国航发航空科技股份有限公司,2020/12/23,1,2,600391,内地企业,meu
AECC Aviation Power Co. Ltd.,中国航发动力股份有限公司,2020/12/23,1,2,600839,内地企业,meu
AECC Beijing Institute of Aeronautical. Materials,北京航空材料研究院,2020/12/23,.,.,,研究所,meu
AECC China Gas Turbine Establishment,中国航发燃气轮机有限公司,2020/12/23,1,0,,内地企业,meu
AECC Commercial Aircraft Engine Co. Ltd.,中国航发商用航空发动机有限责任公司,2020/12/23,1,0,,内地企业,meu
"AECC Harbin Dongan Engine Co., Ltd.",中国航发哈尔滨东安发动机有限公司,2020/12/23,1,0,,内地企业,meu
"AECC Shenyang Liming Aero Engine Co., Ltd.",中国航发沈阳黎明航空科技有限公司,2020/12/23,1,0,,内地企业,meu
AECC South Industry Company Limited,中国航发湖南南方宇航工业有限公司,2020/12/23,1,0,,内地企业,meu
Anhui Yingliu Hangyuan Power,安徽应流航源动力科技有限公司,2020/12/23,1,1,603308,内地企业,meu
Aviation Industry Corporation of China,中国航空工业集团有限公司,2020/12/23,2,0,,内地企业,meu
AVIC Aircraft Co. Ltd.,西安飞机资产管理有限公司,2020/12/23,1,0,,内地企业,meu
"AVIC Chengdu Aircraft Industrial (GROUP) Co., Ltd.",成都飞机工业（集团）有限责任公司,2020/12/23,1,0,,内地企业,meu
AVIC Flight Automatic Control Research Institute (FACRI),中国航空工业集团公司西安飞行自动控制研究所,2020/12/23,.,.,,研究所,meu
AVIC General Aircraft Huanan Industry Co. Ltd.,中航通飞华南飞机工业有限公司,2020/12/23,1,0,,内地企业,meu
"AVIC General Aircraft Zhejiang Institute Co., Ltd.",浙江中航通飞研究院有限公司,2020/12/23,1,0,,内地企业,meu
AVIC Leihua Electronic Technology Research Institute (LETRI),中国航空工业集团公司雷华电子技术研究所,2020/12/23,.,.,,研究所,meu
"Baimtec Material Co., Ltd.",北京航空材料研究院股份有限公司,2020/12/23,2,2,688563,内地企业,meu
"Beijing Ander Tech. Co., Ltd.",北京安达泰克科技有限公司,2020/12/23,2,0,,内地企业,meu
Beijing Aero Lever Precision Ltd.,北京力威尔航空精密机械有限公司,2020/12/23,1,1,000738,内地企业,meu
"Beijing Guang Ming Electronics Co., Ltd.",北京光明远大电子有限公司,2020/12/23,0,0,,内地企业,meu
"Beijing Siyuan Electronic Co., Ltd.",北京思源清能电气电子有限公司,2020/12/23,1,1,002028,内地企业,meu
CAST Xi’an Spaceflight Engine Factory,西安航天发动机有限公司,2020/12/23,1,0,,内地企业,meu
Chengdu Holy Aviation Science & Tech,成都航利航空科技有限责任公司,2020/12/23,1,0,,内地企业,meu
China Aviation Ind. Std. Parts,中国航空工业标准件制造有限责任公司,2020/12/23,1,0,,内地企业,meu
"Chongqing Optel Telecom Technology Co., Ltd",重庆奥普泰通信技术有限公司,2020/12/23,2,0,,内地企业,meu
"CSSC Xijiang Shipbuilding Co., Ltd.",中船西江造船有限公司,2020/12/23,1,0,,内地企业,meu
Elink Electronic Technology Co. Ltd,上海屹领电子科技有限公司,2020/12/23,0,0,,内地企业,meu
Fly Raise International Limited,飛揚國際進出口有限公司,2020/12/23,.,.,,港企,meu
Fuhua Precision Man. Co,合肥市富华精密机械制造有限公司,2020/12/23,0,0,,内地企业,meu
